鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
東區,房地(土地+建物)+車位,臺中市東區十甲路391~420號,11.79,住,,,1080705,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830702,83.99,3,1,2,有,有,3600000,42862,坡道機械,0.0,0,,RPVPMLTLQHOFFAB76CA
南區,房地(土地+建物)+車位,臺中市南區工學北路181~210號,20.11,住,,,1080707,土地4建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840123,205.29000000000002,4,2,2,有,有,8700000,42379,坡道平面,0.0,0,,RPPPMLSJQHOFFAB48CA
南區,房地(土地+建物),臺中市南區仁義街61~90號,3.3,住,,,1080730,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,30.450000000000003,1,0,1,有,有,1250000,41051,,0.0,0,,RPPNMLKKQHOFFAB57CA
西區,房地(土地+建物)+車位,臺中市西區精誠30街31~60號,18.49,住,,,1080316,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840123,207.0,6,0,6,有,有,12500000,60386,坡道平面,0.0,0,6間套房,RPSNMLOLQHOFFAB38CA
北區,房地(土地+建物)+車位,臺中市北區五常街361~390號,2.86,商,,,1080720,土地1建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,43.2,1,1,1,有,有,3460000,80093,坡道機械,14.87,0,,RPPPMLSJQHOFFBB58CA
北區,房地(土地+建物)+車位,臺中市北區民權路391~420號,11.35,住,,,1080622,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0940201,109.30000000000001,2,1,1,有,有,6900000,63129,坡道平面,26.88,0,,RPSPMLMKQHOFFBB38CA
北區,房地(土地+建物)+車位,臺中市北區青島路二段31~60號,36.68,住,,,1080708,土地2建物3車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800517,262.8,4,2,2,有,有,9250000,35198,坡道平面,0.0,0,,RPPQMLTJQHOFFBB78CA
北屯區,房地(土地+建物),臺中市北屯區河北路二段91~120號,4.0,住,,,1080705,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850606,49.06,1,2,1,有,有,2470000,50347,,0.0,0,,RPVPMLQKQHOFFBB09CA
北屯區,房地(土地+建物)+車位,臺中市北屯區建和路一段421~450號,17.24,住,,,1080626,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030923,119.64,3,2,2,有,有,6700000,56001,坡道機械,15.35,0,,RPSOMLPKQHOFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段691~720號,12.27,住,,,1080526,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951017,115.22,2,2,1,有,有,7800000,67697,坡道平面,24.46,0,含增建或未登記建物。;公契與私契權利人不一,RPVRMLOKQHOFFBB09CA
北區,房地(土地+建物)+車位,臺中市北區華美街二段241~270號,20.44,住,,,1080708,土地1建物2車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790907,227.07000000000002,4,2,2,有,有,9500000,41835,坡道平面,24.73,0,,RPOOMLTKQHOFFBB58CA
西屯區,房地(土地+建物),臺中市西屯區上明二街1~30號,11.68,住,,,1080219,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850119,81.17999999999999,2,1,1,有,無,3600000,44346,,0.0,0,,RPWNMLTJQHOFFCB66CA
南屯區,房地(土地+建物)+車位,臺中市南屯區三和里1鄰公益路二段601~630號,14.07,住,,,1080710,土地1建物1車位1,十六層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860715,195.25,2,2,2,有,有,12600000,64533,坡道平面,23.51,0,,RPXOMLNKQHOFFCB98CA
西屯區,房地(土地+建物)+車位,臺中市西屯區河南路一段151~180號,20.76,住,,,1080623,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830604,205.19,3,2,2,有,有,9900000,48248,坡道機械,0.0,0,含增建或未登記建物。;,RPTOMLPKQHOFFCB78CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩四街1~30號,33.27,住,,,1080503,土地1建物2車位2,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961225,330.42,3,2,2,有,有,22150000,67038,坡道平面,0.0,3100000,,RPXNMLPKQHOFFCB09CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩四街1~30號,30.29,住,,,1080514,土地1建物2車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961225,316.75,3,2,2,有,有,20560000,64909,坡道平面,0.0,1950000,,RPVNMLPKQHOFFCB88CA
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~30號,5.67,商,,,1080626,土地1建物1車位1,十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,77.91,1,1,1,有,有,5650000,72520,坡道機械,18.99,0,,RPXNMLSKQHOFFCB76CA
北屯區,房地(土地+建物)+車位,臺中市北屯區梅川西路四段271~300號,20.0,住,,,1080701,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830520,191.63,3,2,2,有,有,9800000,51140,坡道平面,0.0,0,,RPWNMLRLQHOFFBB66DA
豐原區,房地(土地+建物),臺中市豐原區圓環東路361~390號,7.15,住,,,1080711,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901018,58.39,2,1,1,有,有,2200000,37678,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLMKQHOFFDB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區黎明東街61~90號,41.81,住,,,1080705,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011127,294.45000000000005,4,2,2,有,有,24200000,82187,坡道平面,62.88,0,,RPSRMLNLQHOFFCB88CA
南屯區,房地(土地+建物)+車位,臺中市南屯區忠勇路31~60號,10.43,住,,,1080718,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021017,109.62,2,2,1,有,有,7200000,65681,坡道平面,0.0,0,,RPUNMLNLQHOFFCB68CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山六街181~210號,27.67,住,,,1080704,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024,173.39,3,2,2,有,有,12000000,69208,坡道平面,23.47,0,,RPXOMLMLQHOFFCB98CA
西屯區,房地(土地+建物),臺中市西屯區永福路121~150號,10.01,住,,,1080706,土地1建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850527,82.2,2,1,1,有,有,5450000,66302,,0.0,0,,RPWNMLTKQHOFFCB76CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,7.11,住,,,1080717,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,93.06,2,2,1,有,有,7500000,89008,坡道平面,22.28,1200000,含增建或未登記建物。,RPWOMLTKQHOFFCB86CA
