鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
楊梅區,房地(土地+建物),桃園市楊梅區福羚路200巷1~30號,16.23,住,,,1080519,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820313,88.04,3,2,2,有,有,3100000,35211,,0.0,0,,RPRNMLQJQHOFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區湖山街18巷31~60號,44.47,,山坡地保育區,丙種建築用地,1080626,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850917,68.79,2,2,1,有,有,1630000,23695,,0.0,0,,RPWOMLSJQHOFFDH37CA
楊梅區,土地,梅高段61~90地號,340.96,住,,,1080708,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25780000,75610,,0.0,0,,RPPPMLSJQHOFFDH76CA
楊梅區,房地(土地+建物),桃園市楊梅區新農街271~300號,17.99,住,,,1080626,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841016,109.44,3,1,1,有,有,3000000,27412,,0.0,0,,RPVNMLMKQHOFFDH66CA
楊梅區,土地,民豐段1171~1200地號,243.53,,特定農業區,甲種建築用地,1080717,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,2464,,0.0,0,,RPSNMLNKQHOFFDH09CA
楊梅區,房地(土地+建物)+車位,桃園市楊梅區長青東街151~180號,81.16,,山坡地保育區,丙種建築用地,1080703,土地3建物1車位1,一層，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840828,115.05,2,2,3,有,有,5900000,51282,其他,0.0,0,車位約定使用，無所有權持分、權狀,RPPOMLNKQHOFFDH88CA
楊梅區,房地(土地+建物),桃園市楊梅區梅高路二段61巷22弄1~30號,86.38,,特定農業區,甲種建築用地,1080705,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930823,191.62,4,2,4,有,有,6100000,31834,,0.0,0,,RPQOMLPKQHOFFDH56CA
楊梅區,房地(土地+建物),桃園市楊梅區裕成南路301~330號,14.07,,山坡地保育區,丙種建築用地,1080422,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851106,100.58999999999999,3,2,2,有,有,1750000,17397,,0.0,0,,RPOOMLQKQHOFFDH09CA
楊梅區,房地(土地+建物),桃園市楊梅區福人路106巷31~60號,209.12,,山坡地保育區,丙種建築用地,1080530,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840626,273.67,4,1,3,有,有,10350000,37819,,0.0,0,,RPQNMLNLQHOFFDH98CA
楊梅區,房地(土地+建物),桃園市楊梅區青山六街1巷1~30號,16.1,住,,,1080718,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841107,94.82,2,1,2,有,有,2100000,22147,,0.0,0,,RPTQMLLLQHOFFDH76CA
蘆竹區,土地,坑子口段頭前小段421~450地號,963.38,,一般農業區,農牧用地,1080709,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16028000,16637,,0.0,0,,RPTNMLMJQHOFFEH09CA
