鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北投區,房地(土地+建物),臺北市北投區致遠二路91~120號,19.0,住,,,1080625,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610211,70.8,3,2,1,有,無,8000000,112994,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLOKQHOFFEA38CA
士林區,房地(土地+建物),臺北市士林區德行西路91~120號,32.79,住,,,1080614,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680122,112.28,3,2,2,有,無,16800000,149626,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQPMLMJQHOFFEA28CA
士林區,土地,溪洲段二小段211~240地號,84.07,住,,,1080722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4323000,51421,,0.0,0,,RPSNMLPJQHOFFEA58CA
松山區,房地(土地+建物),臺北市松山區南京東路四段179巷3弄1~30號,20.46,住,,,1080703,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720701,120.61000000000001,3,1,2,有,無,24500000,203134,,0.0,0,,RPPNMLQKQHOFFDA38CA
信義區,房地(土地+建物),臺北市信義區永吉路120巷27弄1~30號,15.07,住,,,1080617,土地1建物1車位0,八層,八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1070328,62.42,1,1,1,有,有,20000000,320410,,0.0,0,,RPWOMLKLQHOFFDA68CA
信義區,房地(土地+建物),臺北市信義區永吉路225巷3弄1~30號,96.0,住,,,1080621,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0510728,74.02,5,2,2,有,無,35000000,472845,,0.0,0,含增建或未登記建物。;,RPUPMLKLQHOFFDA58CA
信義區,房地(土地+建物)+車位,臺北市信義區吳興街600巷121~150號,35.88,住,,,1080627,土地1建物1車位2,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990122,235.45,3,2,2,有,無,41000000,174135,坡道機械,39.24,0,,RPORMLQJQHOFFDA58CA
南港區,房地(土地+建物),臺北市南港區重陽路504巷1弄1~30號,21.07,住,,,1080613,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,,66.35,2,2,1,有,無,12000000,180859,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRSMLQJQHOFFDA98CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街61~90號,42.7,住,,,1071001,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080530,186.5,3,2,2,有,有,36280000,212360,其他,21.78,1300000,預售屋雨遮不計價。,RPSPMLTKQHOFFCA09CA
信義區,房地(土地+建物),臺北市信義區基隆路二段1~30號,2.81,商,,,1080623,土地6建物1車位0,七層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0780905,33.260000000000005,1,1,1,有,有,7800000,234516,,0.0,0,,RPPQMLPJQHOFFDA48CA
信義區,房地(土地+建物),臺北市信義區松山路571~600號,32.25,住,,,1080709,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住商用,加強磚造,0571024,87.34,5,0,5,有,無,15000000,171743,,0.0,0,含增建或未登記建物。;,RPQNMLNJQHOFFDA08CA
松山區,房地(土地+建物),臺北市松山區南京東路四段133巷9弄1~30號,9.63,住,,,1080614,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970708,39.7,1,1,1,有,無,9090000,228967,,0.0,0,含增建或未登記建物。;,RPSNMLNJQHOFFDA28CA
松山區,房地(土地+建物)+車位,臺北市松山區三民路43巷1~30號,47.09,住,,,1080628,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931020,244.79,3,2,2,有,有,42800000,174844,坡道平面,0.0,0,,RPWNMLPJQHOFFDA88CA
內湖區,土地,文德段五小段361~390地號,542.27,工,,,1080719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,105000000,193630,,0.0,0,,RPWPMLTLQHOFFCA96CA
中山區,房地(土地+建物),臺北市中山區民生東路一段31~60號,13.35,商,,,1080213,土地1建物1車位0,十一層,十二層,辦公商業大樓,住商用,鋼筋混凝土造,0661109,107.11999999999999,0,0,0,無,有,16848000,157267,,0.0,0,,RPQQMLKMQHOFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段123巷43弄31~60號,160.81,住,,,1080330,土地1建物1車位2,全,四層,透天厝,見使用執照,鋼筋混凝土造,0870923,291.87,5,2,4,有,無,47000000,161031,一樓平面,0.0,0,含增建或未登記建物。;,RPTNMLMJRHOFFCA28CA
內湖區,車位,臺北市內湖區成功路四段151~180號,0.41,其他,,,1080301,土地0建物0車位1,,,其他,,,,29.1,0,0,0,有,有,2400000,,坡道平面,29.1,2400000,,RPWQMLMJRHOFFCA88CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段91巷23弄1~30號,49.36,工,,,1080527,土地4建物1車位0,三層,四層,廠辦,工業用,鋼筋混凝土造,0761207,202.14,3,2,2,有,有,20220000,100030,,0.0,0,,RPTSMLRLQHOFFCA76CA
中山區,房地(土地+建物),臺北市中山區明水路397巷7弄31~60號,16.5,住,,,1080605,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810618,49.980000000000004,2,1,1,有,有,6500000,130052,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWPMLNKQHOFFCA88CA
中山區,房地(土地+建物)+車位,臺北市中山區明水路397巷7弄1~30號,23.85,住,,,1080614,土地1建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880125,134.78,3,2,3,有,有,22000000,163241,坡道平面,34.15,0,親友、員工或其他特殊關係間之交易。;,RPQPMLOKQHOFFCA38CA
