鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
岡山區,土地,陽明段1021~1050地號,8.0,住,,,1080723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,359600,44950,,0.0,0,向政府機關承購之案件。;,RPPOMLLJQHOFFFE48CA
梓官區,土地,同安段1111~1140地號,154.07,,鄉村區,乙種建築用地,1080723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3728800,24202,,0.0,0,畸零地或有合併使用之交易。;,RPTOMLLJQHOFFFE88CA
燕巢區,房地(土地+建物),高雄市燕巢區中興路64巷117弄31~60號,88.18,住,,,1080715,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080130,179.39,4,2,4,有,無,8700000,48498,,0.0,0,,RPVOMLLJQHOFFFE09CA
燕巢區,土地,燕新段61~90地號,691.65,住,,,1080708,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33470000,48392,,0.0,0,,RPVNMLMJQHOFFFE09CA
梓官區,房地(土地+建物),高雄市梓官區中正二街91~120號,88.0,住,,,1080624,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0830501,140.36,5,2,3,有,無,6500000,46309,,0.0,0,,RPQNMLPJQHOFFFE88CA
橋頭區,土地,內庄段181~210地號,727.39,其他,,,1080701,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10724000,14743,,0.0,0,含增建或未登記建物。;因細部計畫尚未完成，無法依照變更後之用途使用。依主要計畫書規定，納入區段徵收整體開發，且該區段徵收內並無規劃農業區及保護區，並在未完成細部計畫法定程序及辦理完成區段徵收前不得核發建築執照。,RPQOMLNKQHOFFFE88CA
燕巢區,土地,海城段631~660地號,3476.0,其他,,,1080606,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50850000,14629,,0.0,0,因細部計畫尚未完成，無法依照變更後之用途使用。依主要計畫書規定，納入區段徵收整體開發，且該區段徵收內並無規劃農業區及保護區，並在未完成細部計畫法定程序及辦理完成區段徵收前不得核發建築執照。,RPQNMLOKQHOFFFE88CA
彌陀區,房地(土地+建物),高雄市彌陀區中正南路1巷1~30號,120.27,住,,,1080619,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710520,98.54,3,2,2,有,無,5000000,50741,,0.0,0,含增建或未登記建物。;,RPROMLTKQHOFFFE96CA
鳳山區,房地(土地+建物),高雄市鳳山區中崙二路582巷1~30號,36.03,住,,,1080724,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830818,107.83999999999999,3,1,2,有,有,5130000,47570,,0.0,0,,RPWNMLMJQHOFFGE66CA
鳳山區,房地(土地+建物),高雄市鳳山區八德路二段1~30號,99.26,住,,,1080618,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1040925,277.27,4,2,3,有,無,23800000,85837,,0.0,0,,RPOOMLMJQHOFFGE58CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區瑞興路181~210號,23.21,住,,,1080630,土地2建物1車位1,五層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080408,159.57,3,2,1,有,有,9980000,62543,坡道平面,41.78,0,,RPUNMLPJQHOFFGE76CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區武慶二路151~180號,14.26,住,,,1080709,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891020,128.91,3,2,2,有,有,7100000,55077,坡道平面,0.0,0,,RPTOMLPJQHOFFGE76CA
鳳山區,房地(土地+建物),高雄市鳳山區五甲一路151~180號,45.08,住,,,1080516,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800828,234.23,0,0,0,無,無,6000000,25616,,0.0,0,親友、員工或其他特殊關係間之交易。;受債權債務影響或債務抵償之交易。;,RPROMLQJQHOFFGE66CA
橋頭區,土地,後壁田段241~270地號,1279.37,住,,,1080227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96750000,75623,,0.0,0,,RPQOMLQKQHOFFFE56CA
大樹區,房地(土地+建物),高雄市大樹區竹寮路691~720號,102.08,,一般農業區,丙種建築用地,1080710,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810805,176.79,4,2,2,有,無,3650000,20646,,0.0,0,,RPPNMLQKQHOFFGE09CA
鳳山區,房地(土地+建物),高雄市鳳山區八德路361~390號,6.8,商,,,1080723,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010901,78.24,2,2,1,有,無,4450000,56876,,0.0,0,含增建或未登記建物。;,RPVNMLQKQHOFFGE07CA
鳳山區,房地(土地+建物),高雄市鳳山區鎮東街121~150號,11.91,住,,,1080617,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820309,92.45,3,2,2,有,有,3500000,37858,,0.0,0,,RPQNMLRKQHOFFGE66CA
鳳山區,房地(土地+建物),高雄市鳳山區武慶二路1~30號,50.0,住,,,1071108,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0600530,84.2,3,2,2,有,無,5800000,68884,,0.0,0,,RPVNMLRJQHOFFGE07CA
鳳山區,房地(土地+建物),高雄市鳳山區崗山北街120巷1~30號,67.0,住,,,1080620,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620316,86.88,3,2,3,有,無,4000000,46041,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLKMQHOFFGE78CA
杉林區,土地,新庄段二小段61~90地號,6812.0,,山坡地保育區,農牧用地,1080708,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1950000,286,,0.0,0,,RPRNMLLLQHOFFHE98CA
杉林區,土地,新庄段二小段61~90地號,631.0,,山坡地保育區,農牧用地,1080724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,396,,0.0,0,,RPQNMLMLQHOFFHE98CA
杉林區,土地,新庄段二小段61~90地號,695.0,,山坡地保育區,農牧用地,1080724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,288,,0.0,0,,RPRNMLMLQHOFFHE09CA
內門區,土地,溝坪段301~330地號,170.0,,鄉村區,乙種建築用地,1080722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1765,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLNLQHOFFHE98CA
仁武區,房地(土地+建物),高雄市仁武區澄觀路1561~1590號,72.02,住,,,1080701,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931210,173.58,4,2,3,有,無,8800000,50697,,0.0,0,,RPUNMLMJQHOFFIE66CA
大社區,土地,清福段391~420地號,43.28,其他,,,1080625,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1220000,28189,,0.0,0,,RPXNMLRJQHOFFIE47CA
鳥松區,房地(土地+建物),高雄市鳥松區本華路1~30號,143.26,住,,,1080115,土地1建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1080605,394.09,5,2,5,有,無,36200000,91857,,0.0,0,,RPPNMLTJQHOFFIE86CA
仁武區,房地(土地+建物),高雄市仁武區新寶街3巷8弄1~30號,82.72,住,,,1080713,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930517,154.32,4,2,3,有,無,6000000,38880,,0.0,0,含增建或未登記建物。;附家電傢俱。賣方已相當減價出售予買方，買方同意賣方對於已知悉未知悉之瑕疵均無須負擔瑕疵擔保責任。,RPQNMLOKQHOFFIE56CA
仁武區,房地(土地+建物),高雄市仁武區澄合五街31~60號,77.89,住,,,1080624,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821016,164.64,7,2,4,有,無,8800000,53450,,0.0,0,,RPSOMLTKQHOFFIE37CA
路竹區,土地,東安段121~150地號,15.63,其他,,,1080719,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375156,24002,,0.0,0,協議價購案件,RPSNMLMJQHOFFJE56CA
阿蓮區,房地(土地+建物),高雄市阿蓮區成功街121~150號,71.91,住,,,1080621,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0690531,97.04,3,2,2,有,無,3000000,30915,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLQJQHOFFJE17CA
